"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"06.06.2024","1.483,40","1.478,60","1.496,40","1.441,00","197,30K","1,02%"
"05.06.2024","1.468,40","1.469,00","1.493,20","1.435,00","231,60K","0,36%"
"04.06.2024","1.463,20","1.406,00","1.473,40","1.381,00","283,42K","4,42%"
"03.06.2024","1.401,20","1.376,80","1.433,20","1.298,00","491,52K","0,95%"
"31.05.2024","1.388,00","1.395,00","1.418,40","1.350,00","170,90K","-0,80%"
"30.05.2024","1.399,20","1.431,00","1.442,60","1.393,40","164,70K","-2,29%"
"29.05.2024","1.432,00","1.392,60","1.432,00","1.380,80","115,45K","2,83%"
"28.05.2024","1.392,60","1.370,60","1.420,00","1.370,60","195,81K","1,59%"
"27.05.2024","1.370,80","1.419,40","1.425,80","1.366,60","331,20K","-3,42%"
"24.05.2024","1.419,40","1.459,40","1.468,60","1.416,40","137,83K","-2,74%"
"23.05.2024","1.459,40","1.480,40","1.484,80","1.442,00","130,11K","-1,07%"
"22.05.2024","1.475,20","1.433,40","1.485,40","1.428,20","261,30K","3,26%"
"21.05.2024","1.428,60","1.444,40","1.467,20","1.421,60","170,46K","-1,08%"
"20.05.2024","1.444,20","1.479,20","1.491,20","1.430,00","299,26K","-2,35%"
"17.05.2024","1.479,00","1.504,80","1.508,20","1.476,20","178,91K","-1,54%"
"16.05.2024","1.502,20","1.520,40","1.525,20","1.502,00","89,11K","-1,03%"
"15.05.2024","1.517,80","1.498,40","1.532,40","1.491,60","236,58K","1,25%"
"14.05.2024","1.499,00","1.545,40","1.546,00","1.491,40","437,45K","-3,00%"
"13.05.2024","1.545,40","1.580,00","1.589,80","1.520,00","870,32K","-2,00%"
"10.05.2024","1.577,00","1.587,40","1.596,00","1.575,60","61,21K","-1,00%"
"08.05.2024","1.593,00","1.620,00","1.638,00","1.579,40","390,65K","-1,55%"
"07.05.2024","1.618,00","1.567,80","1.625,00","1.556,80","439,68K","3,20%"
"06.05.2024","1.567,80","1.540,60","1.595,80","1.539,40","291,02K","1,46%"
