"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"06.06.2024","45,00","43,66","49,44","43,56","946,00K","3,07%"
"05.06.2024","43,66","43,80","44,60","43,52","44,99K","-0,32%"
"04.06.2024","43,80","43,22","44,28","42,96","58,53K","1,39%"
"03.06.2024","43,20","44,00","44,70","41,40","188,69K","-2,35%"
"31.05.2024","44,24","45,14","45,40","44,24","75,52K","-2,30%"
"30.05.2024","45,28","45,16","45,78","45,06","75,68K","0,31%"
"29.05.2024","45,14","44,86","48,00","44,80","530,36K","0,13%"
"28.05.2024","45,08","44,38","45,96","44,06","120,84K","1,58%"
"27.05.2024","44,38","45,36","45,54","44,10","159,75K","-2,16%"
"24.05.2024","45,36","45,66","45,70","45,34","58,06K","-0,66%"
"23.05.2024","45,66","45,92","46,04","45,34","85,70K","0,04%"
"22.05.2024","45,64","45,68","46,00","45,36","36,53K","-0,09%"
"21.05.2024","45,68","45,70","46,14","45,20","149,85K","-0,26%"
"20.05.2024","45,80","46,76","47,20","45,70","322,08K","-2,59%"
"17.05.2024","47,02","46,60","48,28","45,44","726,65K","2,31%"
"16.05.2024","45,96","46,04","52,12","45,90","2,23M","0,22%"
"15.05.2024","45,86","45,94","45,98","45,72","45,59K","-0,17%"
"14.05.2024","45,94","45,76","46,10","45,72","41,74K","0,09%"
"13.05.2024","45,90","46,18","46,38","45,90","70,56K","-0,65%"
"10.05.2024","46,20","46,10","46,44","46,00","41,28K","-0,09%"
"08.05.2024","46,24","46,16","46,40","45,70","65,27K","0,48%"
"07.05.2024","46,02","45,70","46,10","45,54","82,94K","0,70%"
"06.05.2024","45,70","45,80","46,00","45,60","74,48K","-0,39%"
