"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"06.06.2024","6.704,0","6.660,0","6.724,5","6.587,0","244,23K","1,02%"
"05.06.2024","6.636,0","6.829,0","6.898,0","6.612,5","533,42K","-2,82%"
"04.06.2024","6.828,5","6.700,0","6.845,0","6.601,5","582,56K","1,96%"
"03.06.2024","6.697,0","7.000,0","7.000,0","6.339,0","2,04M","-5,30%"
"31.05.2024","7.072,0","7.746,0","7.746,0","7.072,0","1,10M","-8,07%"
"30.05.2024","7.692,5","7.870,0","7.917,0","7.683,0","200,53K","-2,31%"
"29.05.2024","7.874,5","7.825,0","7.881,0","7.672,0","277,53K","0,72%"
"28.05.2024","7.818,5","7.901,0","8.047,0","7.774,0","227,15K","-0,68%"
"27.05.2024","7.872,0","8.057,0","8.100,0","7.845,0","194,93K","-2,30%"
"24.05.2024","8.057,0","8.082,0","8.140,0","7.955,5","329,48K","-0,31%"
"23.05.2024","8.082,0","8.090,0","8.178,5","8.035,5","232,49K","-0,10%"
"22.05.2024","8.090,0","8.212,5","8.233,0","8.071,5","163,16K","-1,34%"
"21.05.2024","8.199,5","8.145,0","8.268,0","8.015,0","452,36K","0,66%"
"20.05.2024","8.145,5","8.230,0","8.305,5","8.058,0","291,98K","-1,03%"
"17.05.2024","8.230,0","8.362,0","8.379,0","8.211,0","185,20K","-1,50%"
"16.05.2024","8.355,0","8.450,0","8.487,5","8.315,0","251,83K","-1,05%"
"15.05.2024","8.444,0","8.290,0","8.470,0","8.275,5","232,06K","1,86%"
"14.05.2024","8.290,0","8.310,0","8.362,5","8.275,0","136,51K","-0,28%"
"13.05.2024","8.313,0","8.380,5","8.420,0","8.260,0","193,07K","-0,69%"
"10.05.2024","8.370,5","8.250,0","8.380,5","8.250,0","104,68K","1,50%"
"08.05.2024","8.247,0","8.268,0","8.311,0","8.238,0","105,00K","-0,24%"
"07.05.2024","8.267,0","8.210,0","8.294,0","8.203,5","134,66K","0,70%"
"06.05.2024","8.209,5","8.269,0","8.306,5","8.185,0","96,38K","-0,61%"
