"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"06.06.2024","565,55","563,90","569,80","561,25","2,16M","0,60%"
"05.06.2024","562,20","570,05","574,95","560,00","5,05M","-1,19%"
"04.06.2024","568,95","563,10","569,00","555,55","5,28M","1,07%"
"03.06.2024","562,95","557,00","564,60","542,50","7,58M","1,13%"
"31.05.2024","556,65","570,00","571,80","556,05","6,16M","-1,72%"
"30.05.2024","566,40","577,65","581,15","556,10","5,59M","-1,61%"
"29.05.2024","575,65","573,95","579,95","571,00","2,62M","0,46%"
"28.05.2024","573,00","578,80","584,85","568,50","4,39M","-0,91%"
"27.05.2024","578,25","585,00","587,90","568,45","7,41M","-1,17%"
"24.05.2024","585,10","593,60","594,45","582,45","3,99M","-1,36%"
"23.05.2024","593,15","595,70","596,40","590,00","3,56M","-0,62%"
"22.05.2024","596,85","593,90","597,25","592,40","3,75M","0,38%"
"21.05.2024","594,60","592,00","597,00","589,90","4,31M","0,46%"
"20.05.2024","591,90","594,00","596,35","585,95","4,65M","-0,01%"
"17.05.2024","591,95","592,80","596,70","591,05","3,46M","-0,11%"
"16.05.2024","592,60","599,50","599,90","590,45","4,65M","-1,10%"
"15.05.2024","599,20","590,75","599,30","589,30","7,14M","1,59%"
"14.05.2024","589,80","590,00","594,00","588,30","4,22M","0,06%"
"13.05.2024","589,45","580,25","590,00","579,20","4,76M","1,73%"
"10.05.2024","579,40","579,00","582,20","578,80","1,16M","0,16%"
"08.05.2024","578,50","580,30","582,00","578,25","1,29M","-0,25%"
"07.05.2024","579,95","579,15","584,30","579,15","1,69M","0,16%"
"06.05.2024","579,05","582,00","586,15","578,65","2,44M","-0,56%"
