"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"06.06.2024","3.188,00","3.147,00","3.196,50","3.131,00","92,86K","0,57%"
"05.06.2024","3.170,00","3.241,50","3.299,00","3.124,50","332,90K","-1,83%"
"04.06.2024","3.229,00","3.150,00","3.250,00","3.059,50","298,36K","2,67%"
"03.06.2024","3.145,00","3.100,00","3.170,00","2.950,00","468,81K","0,93%"
"31.05.2024","3.116,00","3.225,00","3.246,50","3.032,00","379,36K","-3,53%"
"30.05.2024","3.230,00","3.345,00","3.380,50","3.211,00","141,76K","-3,15%"
"29.05.2024","3.335,00","3.319,00","3.342,00","3.204,50","201,06K","0,83%"
"28.05.2024","3.307,50","3.360,50","3.436,00","3.293,00","200,92K","-1,24%"
"27.05.2024","3.349,00","3.500,00","3.509,00","3.320,00","509,33K","-4,14%"
"24.05.2024","3.493,50","3.570,00","3.578,50","3.455,00","310,66K","-2,03%"
"23.05.2024","3.566,00","3.619,00","3.639,50","3.537,50","334,93K","-1,29%"
"22.05.2024","3.612,50","3.610,00","3.642,00","3.556,50","347,33K","0,28%"
"21.05.2024","3.602,50","3.518,50","3.602,50","3.474,50","215,61K","2,40%"
"20.05.2024","3.518,00","3.519,00","3.529,00","3.450,00","270,56K","-0,31%"
"17.05.2024","3.529,00","3.502,50","3.557,00","3.465,50","382,10K","0,76%"
"16.05.2024","3.502,50","3.587,00","3.589,50","3.500,50","283,51K","-2,41%"
"15.05.2024","3.589,00","3.612,00","3.620,00","3.569,50","93,14K","-0,43%"
"14.05.2024","3.604,50","3.587,00","3.614,00","3.569,00","91,21K","0,66%"
"13.05.2024","3.581,00","3.628,00","3.641,50","3.574,00","198,93K","-1,30%"
"10.05.2024","3.628,00","3.613,00","3.634,50","3.584,00","87,48K","0,19%"
"08.05.2024","3.621,00","3.691,00","3.691,00","3.566,00","451,12K","-1,56%"
"07.05.2024","3.678,50","3.616,00","3.682,00","3.585,00","417,24K","1,76%"
"06.05.2024","3.615,00","3.692,00","3.710,00","3.615,00","193,18K","-2,06%"
