"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"06.06.2024","2.914,00","2.917,00","2.932,00","2.876,00","970,17K","-0,17%"
"05.06.2024","2.919,00","2.905,00","2.972,50","2.897,00","1,84M","0,90%"
"04.06.2024","2.893,00","2.805,00","2.902,50","2.785,00","1,44M","3,17%"
"03.06.2024","2.804,00","2.829,00","2.852,00","2.676,00","2,06M","-0,21%"
"31.05.2024","2.810,00","2.899,00","2.923,00","2.774,00","1,61M","-3,00%"
"30.05.2024","2.897,00","2.942,00","2.982,00","2.880,00","1,61M","-1,09%"
"29.05.2024","2.929,00","2.877,00","2.976,00","2.813,50","2,31M","2,16%"
"28.05.2024","2.867,00","2.833,00","2.899,50","2.812,00","1,26M","1,59%"
"27.05.2024","2.822,00","2.912,00","2.942,00","2.818,50","2,33M","-3,01%"
"24.05.2024","2.909,50","2.975,00","2.986,50","2.909,50","1,00M","-1,94%"
"23.05.2024","2.967,00","2.954,50","2.998,00","2.908,00","1,97M","0,42%"
"22.05.2024","2.954,50","3.003,00","3.007,00","2.952,00","1,12M","-1,50%"
"21.05.2024","2.999,50","3.023,00","3.023,00","2.983,00","814,05K","-0,76%"
"20.05.2024","3.022,50","3.067,50","3.074,00","2.980,00","2,37M","-1,23%"
"17.05.2024","3.060,00","3.093,00","3.093,00","3.057,50","796,17K","-0,95%"
"16.05.2024","3.089,50","3.105,00","3.139,00","3.083,50","1,76M","-0,34%"
"15.05.2024","3.100,00","3.097,50","3.102,50","3.083,00","648,59K","0,16%"
"14.05.2024","3.095,00","3.090,00","3.103,50","3.077,00","834,62K","0,24%"
"13.05.2024","3.087,50","3.125,00","3.133,00","3.063,00","1,61M","-0,40%"
"10.05.2024","3.100,00","3.088,50","3.128,00","3.088,50","506,72K","0,45%"
"08.05.2024","3.086,00","3.148,50","3.181,00","3.077,50","1,77M","-1,61%"
"07.05.2024","3.136,50","3.156,00","3.189,00","3.121,00","1,50M","-0,54%"
"06.05.2024","3.153,50","3.058,00","3.164,50","3.057,00","2,46M","3,22%"
