"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.02.2022","18,94","23,94","24,05","17,83","28,27M","-6,79%"
"24.02.2022","20,32","17,96","23,39","14,11","77,40M","-40,31%"
"23.02.2022","34,04","38,70","39,02","34,00","7,74M","-13,65%"
"22.02.2022","39,42","40,52","43,31","38,80","14,95M","-11,91%"
"18.02.2022","44,75","46,70","47,28","44,69","6,90M","-8,56%"
"17.02.2022","48,94","49,80","50,75","48,88","3,07M","-8,66%"
"16.02.2022","53,58","53,00","53,85","51,80","3,19M","2,25%"
"15.02.2022","52,40","49,25","52,79","49,24","8,06M","15,98%"
"14.02.2022","45,18","45,85","46,09","44,48","3,98M","1,73%"
"11.02.2022","44,41","49,06","49,71","44,01","5,92M","-12,89%"
"10.02.2022","50,98","49,21","52,25","49,19","3,21M","0,81%"
"09.02.2022","50,57","50,05","50,82","49,05","2,44M","4,14%"
"08.02.2022","48,56","46,16","48,66","46,00","1,86M","5,59%"
"07.02.2022","45,99","46,07","46,67","45,23","1,68M","-0,37%"
"04.02.2022","46,16","46,01","46,69","45,44","1,91M","0,70%"
"03.02.2022","45,84","46,16","47,11","45,72","2,56M","-4,56%"
"02.02.2022","48,03","49,20","50,12","47,76","3,06M","-1,01%"
"01.02.2022","48,52","48,88","49,15","47,78","2,27M","0,96%"
"31.01.2022","48,06","45,33","48,14","45,30","3,45M","8,22%"
"28.01.2022","44,41","44,05","44,74","43,14","5,18M","3,16%"
"27.01.2022","43,05","45,73","45,73","42,98","7,06M","2,21%"
"26.01.2022","42,12","44,38","45,03","41,64","4,88M","-2,32%"
"25.01.2022","43,12","41,46","44,20","40,65","5,59M","1,46%"
"24.01.2022","42,50","41,11","42,56","39,00","7,67M","-4,43%"
"21.01.2022","44,47","47,80","47,89","44,45","4,19M","-6,97%"
"20.01.2022","47,80","49,41","50,33","47,69","3,60M","-1,12%"
"19.01.2022","48,34","50,88","50,88","48,24","5,95M","-0,72%"
"18.01.2022","48,69","49,26","50,44","48,67","5,56M","-6,97%"
"14.01.2022","52,34","52,91","54,01","50,27","5,55M","-3,98%"
"13.01.2022","54,51","57,48","58,75","54,36","3,89M","-7,58%"
