"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"06.06.2024","2.393,20","2.374,15","2.397,70","2.372,70","","0,75%"
"05.06.2024","2.375,50","2.347,10","2.377,60","2.345,30","171,86K","1,20%"
"04.06.2024","2.347,40","2.371,30","2.373,10","2.335,10","171,55K","-0,92%"
"03.06.2024","2.369,30","2.348,00","2.375,50","2.334,80","173,15K","1,00%"
"31.05.2024","2.345,80","2.364,50","2.381,20","2.341,10","183,41K","-0,87%"
"30.05.2024","2.366,50","2.361,00","2.373,70","2.343,30","188,89K","0,62%"
"29.05.2024","2.352,00","2.372,90","2.373,50","2.346,00","2,83K","-0,65%"
"28.05.2024","2.367,30","2.348,70","2.375,20","2.347,70","1,49K","0,46%"
"27.05.2024","2.356,50","2.338,00","2.365,50","2.333,80","308,91K","0,47%"
"24.05.2024","2.345,40","2.341,50","2.357,10","2.339,10","0,69K","-0,12%"
"23.05.2024","2.348,20","2.393,20","2.395,30","2.340,00","1,14K","-2,31%"
"22.05.2024","2.403,70","2.436,30","2.440,00","2.392,10","0,71K","-1,36%"
"21.05.2024","2.436,90","2.442,30","2.448,40","2.420,20","0,54K","-0,51%"
"20.05.2024","2.449,50","2.438,60","2.464,50","2.425,60","0,70K","0,86%"
"17.05.2024","2.428,60","2.392,80","2.433,60","2.389,20","0,27K","1,34%"
"16.05.2024","2.396,40","2.401,00","2.413,10","2.387,00","0,36K","-0,39%"
"15.05.2024","2.405,80","2.372,20","2.406,30","2.370,90","0,35K","1,48%"
"14.05.2024","2.370,60","2.354,60","2.375,70","2.352,30","0,16K","0,71%"
"13.05.2024","2.353,80","2.379,80","2.380,60","2.349,50","0,15K","-0,89%"
"10.05.2024","2.375,00","2.353,50","2.385,30","2.352,00","246,00K","1,48%"
"09.05.2024","2.340,30","2.316,50","2.354,20","2.312,90","226,53K","0,78%"
"08.05.2024","2.322,30","2.322,00","2.329,60","2.311,40","196,16K","-0,08%"
"07.05.2024","2.324,20","2.334,80","2.338,70","2.318,20","186,87K","-0,30%"
"06.05.2024","2.331,20","2.312,80","2.341,90","2.300,60","188,98K","0,98%"
